
Optimization;Cloud;Time Tree;Time OWM;Total
Baseline;Alcoy;4.74;22.55;
Baseline;Arzua;5.75;22.94;
Baseline;BrionF;5.97;19.75;
Baseline;BrionU;6.76;21.30;
Opt1-Quadtree;Alcoy;3.18;12.48;
Opt1-Quadtree;Arzua;3.77;10.03;
Opt1-Quadtree;BrionF;4.03;11.07;
Opt1-Quadtree;BrionU;4.50;12.98;
Opt2-MinRadius;Alcoy;1.02;1.63;
Opt2-MinRadius;Arzua;1.61;2.20;
Opt2-MinRadius;BrionF;2.87;3.77;
Opt2-MinRadius;BrionU;3.25;4.48;
Opt2-MaxNumber;Alcoy;1.95;4.99;
Opt2-MaxNumber;Arzua;2.66;4.29;
Opt2-MaxNumber;BrionF;2.88;4.39;
Opt2-MaxNumber;BrionU;3.44;4.92;
Opt3-Memo-MinRad;Alcoy;0.72;1.05;
Opt3-Memo-MinRad;Arzua;1.41;1.10;
Opt3-Memo-MinRad;BrionF;2.58;0.58;
Opt3-Memo-MinRad;BrionU;2.91;0.67;
Opt3-Memo-MaxNum;Alcoy;1.14;1.03;
Opt3-Memo-MaxNum;Arzua;2.04;1.23;
Opt3-Memo-MaxNum;BrionF;3.81;0.58;
Opt3-Memo-MaxNum;BrionU;4.49;0.62;
Par8cores-Memo-MinRad;Alcoy;0.14;0.21;
Par8cores-Memo-MinRad;Arzua;0.26;0.21;
Par8cores-Memo-MinRad;BrionF;0.50;0.14;
Par8cores-Memo-MinRad;BrionU;0.57;0.16;
Par8cores-Memo-MaxNum;Alcoy;0.21;0.21;
Par8cores-Memo-MaxNum;Arzua;0.37;0.23;
Par8cores-Memo-MaxNum;BrionF;0.77;0.10;
Par8cores-Memo-MaxNum;BrionU;0.87;0.11;
